ref_name_in_url,no_of_matches,player_appearances,cards,cards_to_appearance_ratio
bjorn-kuipers,278,7544,1003,13.2953340403
carlos-velasco-carballo,318,8580,1716,20.0
clement-turpin,221,6034,786,13.0261849519
cuneyt-cakir,264,7303,1131,15.4867862522
damir-skomina,249,6879,1044,15.1766245094
felix-brych,360,9839,1290,13.1110885253
jonas-eriksson,234,6390,750,11.7370892019
mark-clattenburg,324,8796,1043,11.8576625739
martin-atkinson,334,9053,1225,13.5314260466
milorad-mazic,209,5829,927,15.9032424086
nicola-rizzoli,294,7857,1338,17.0294005346
ovidiu-hategan,215,5860,1118,19.0784982935
pavel-kralovec,225,6245,844,13.5148118495
sergey-karasev,192,5306,775,14.6061062948
svein-oddvar-moen,209,5778,576,9.96884735202
szymon-marciniak,256,7092,1001,14.1144952059
viktor-kassai,257,7075,1198,16.9328621908
william-collum,344,9295,1069,11.5008068854
