ref_name_in_url,card_1,card_2,card_3,card_4,card_5,the_rest
bjorn-kuipers,25.843780135,23.0472516876,18.9971070395,13.5969141755,9.16104146577,9.35390549662
carlos-velasco-carballo,16.7922497309,15.8772874058,14.7470398278,13.1862217438,11.6254036598,27.7717976319
clement-turpin,25.7631257631,23.5653235653,19.4139194139,14.0415140415,8.30280830281,8.91330891331
cuneyt-cakir,21.9283276451,20.819112628,17.5767918089,14.6757679181,9.81228668942,15.1877133106
damir-skomina,22.3963133641,21.2903225806,18.2488479263,13.8248847926,10.0460829493,14.1935483871
felix-brych,25.2592592593,23.1111111111,18.5185185185,13.2592592593,8.51851851852,11.3333333333
jonas-eriksson,28.1452658885,24.7730220493,19.195849546,12.1919584955,7.65239948119,8.04150453956
mark-clattenburg,27.1719038817,22.7356746765,19.1312384473,13.2162661738,8.41035120148,9.33456561922
martin-atkinson,25.1781472684,23.198733175,19.0023752969,14.2517814727,9.02612826603,9.34283452098
milorad-mazic,21.2121212121,19.3722943723,17.6406926407,14.3939393939,11.4718614719,15.9090909091
nicola-rizzoli,20.0414651002,19.004837595,17.3462335867,15.4803040774,11.195577056,16.9315825847
ovidiu-hategan,17.8023850085,17.5468483816,16.6098807496,14.0545144804,11.4139693356,22.5724020443
pavel-kralovec,24.3816254417,22.7326266196,18.6101295642,14.3698468787,8.83392226148,11.0718492344
sergey-karasev,23.2587064677,22.263681592,19.1542288557,14.1791044776,9.32835820896,11.815920398
svein-oddvar-moen,32.9983249581,28.1407035176,18.5929648241,10.5527638191,5.69514237856,4.02010050251
szymon-marciniak,24.0,21.9487179487,18.2564102564,13.1282051282,9.84615384615,12.8205128205
viktor-kassai,20.0,18.6290322581,17.1774193548,14.8387096774,11.7741935484,17.5806451613
william-collum,27.9676258993,24.0107913669,17.2661870504,12.2302158273,7.19424460432,11.3309352518
