ref_name_in_url,first_yellow_mean,first_red_mean
bjorn-kuipers,34.9626865672,63.3
carlos-velasco-carballo,27.0739549839,63.1363636364
clement-turpin,35.2132701422,56.3023255814
cuneyt-cakir,34.046692607,63.0
damir-skomina,32.9094650206,59.7857142857
felix-brych,38.0941176471,63.9393939394
jonas-eriksson,37.6267281106,50.4375
mark-clattenburg,41.1496598639,60.7
martin-atkinson,35.7255520505,59.4285714286
milorad-mazic,38.6476683938,54.8
nicola-rizzoli,29.6068965517,72.3142857143
ovidiu-hategan,28.5119617225,72.8333333333
pavel-kralovec,38.5097087379,55.1666666667
sergey-karasev,34.6363636364,59.0833333333
svein-oddvar-moen,42.8730964467,63.4545454545
szymon-marciniak,35.6753246753,68.5882352941
viktor-kassai,35.4959677419,70.75
william-collum,40.5032679739,60.5849056604
