referee_name,total_yellow_cards,total_second_yellows,ratio
bjorn-kuipers,984,21,2.13414634146
carlos-velasco-carballo,1740,69,3.96551724138
clement-turpin,748,19,2.54010695187
cuneyt-cakir,1099,32,2.91173794359
damir-skomina,1021,33,3.23212536729
felix-brych,1269,47,3.7037037037
jonas-eriksson,736,19,2.58152173913
mark-clattenburg,1036,25,2.41312741313
martin-atkinson,1214,21,1.72981878089
milorad-mazic,882,21,2.38095238095
nicola-rizzoli,1366,40,2.92825768668
ovidiu-hategan,1111,37,3.3303330333
pavel-kralovec,813,23,2.82902829028
sergey-karasev,751,28,3.72836218375
svein-oddvar-moen,568,17,2.99295774648
szymon-marciniak,908,30,3.30396475771
viktor-kassai,1181,28,2.37087214225
william-collum,1032,25,2.42248062016
